측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870125,도봉구 ,0.024       ,0.022    ,3.3         ,0.128     ,         ,
19870125,서대문구,0.052       ,         ,4           ,0.062     ,         ,
19870125,서초구 ,0.026       ,0.048    ,0.5         ,0.05      ,         ,
19870125,성동구 ,0.037       ,0.03     ,3.5         ,0.128     ,         ,
19870125,송파구 ,0.03        ,0.012    ,1.9         ,          ,         ,
19870125,용산구 ,            ,         ,            ,          ,         ,
19870126,광진구 ,0.011       ,0.001    ,4           ,0.151     ,         ,
19870126,구로구 ,            ,         ,            ,          ,         ,
19870126,도봉구 ,0.048       ,0.006    ,10.6        ,0.341     ,         ,
19870126,서대문구,0.066       ,         ,8.8         ,0.138     ,         ,
19870126,서초구 ,0.046       ,0.015    ,2.5         ,0.219     ,         ,
19870126,성동구 ,0.047       ,0.006    ,6.7         ,0.271     ,         ,
19870126,송파구 ,0.041       ,0.003    ,4.6         ,          ,         ,
19870126,용산구 ,0.03        ,0.006    ,4.5         ,0.108     ,         ,
19870127,광진구 ,0.012       ,0        ,4.2         ,0.168     ,         ,
19870127,구로구 ,0.03        ,0.005    ,3.2         ,0.175     ,         ,
19870127,도봉구 ,0.05        ,0.007    ,12.2        ,0.301     ,         ,
19870127,서대문구,0.068       ,         ,10.3        ,0.25      ,         ,
19870127,서초구 ,0.046       ,0.018    ,1.8         ,0.209     ,         ,
19870127,성동구 ,0.042       ,0.007    ,5.8         ,0.223     ,         ,
19870127,송파구 ,0.035       ,0.007    ,3.6         ,          ,         ,
19870127,용산구 ,0.028       ,0.004    ,6.2         ,0.11      ,         ,
19870128,광진구 ,0.012       ,0.001    ,4.1         ,0.172     ,         ,
19870128,구로구 ,0.031       ,0.003    ,7.1         ,0.203     ,         ,
19870128,도봉구 ,0.059       ,0.004    ,18.1        ,0.426     ,         ,
19870128,서대문구,0.069       ,         ,10.9        ,0.244     ,         ,
19870128,서초구 ,0.058       ,0.018    ,3.1         ,0.273     ,         ,
19870128,성동구 ,0.048       ,0.01     ,6.1         ,0.188     ,         ,
19870128,송파구 ,0.033       ,0.006    ,4.5         ,          ,         ,
19870128,용산구 ,0.028       ,0.005    ,7.4         ,0.118     ,         ,
19870129,광진구 ,0.011       ,0.001    ,2.7         ,0.067     ,         ,
19870129,구로구 ,0.016       ,0.012    ,2.8         ,0.054     ,         ,
19870129,도봉구 ,0.038       ,0.011    ,9           ,0.245     ,         ,
19870129,서대문구,0.059       ,         ,4.9         ,0.123     ,         ,
19870129,서초구 ,0.036       ,0.035    ,1.2         ,0.074     ,         ,
19870129,성동구 ,0.038       ,0.014    ,4.6         ,0.131     ,         ,
19870129,송파구 ,0.029       ,0.009    ,5.3         ,          ,         ,
19870129,용산구 ,0.025       ,0.011    ,8.5         ,0.121     ,         ,
19870130,광진구 ,0.003       ,0.007    ,1.5         ,0.034     ,         ,
19870130,구로구 ,0.012       ,0.01     ,0.8         ,0.047     ,         ,
19870130,도봉구 ,0.015       ,0.027    ,1.3         ,0.055     ,         ,
19870130,서대문구,0.035       ,         ,2.1         ,0.059     ,         ,
19870130,서초구 ,0.018       ,0.068    ,0.3         ,0.025     ,         ,
19870130,성동구 ,0.024       ,0.05     ,2.5         ,0.086     ,         ,
19870130,송파구 ,0.019       ,0.02     ,1           ,          ,         ,
19870130,용산구 ,0.016       ,0.025    ,1.5         ,0.131     ,         ,
19870131,광진구 ,            ,         ,1.9         ,0.052     ,         ,
19870131,구로구 ,0.012       ,0.005    ,1.5         ,0.058     ,         ,
19870131,도봉구 ,0.022       ,0.022    ,1.6         ,0.082     ,         ,
19870131,서대문구,0.042       ,         ,6.8         ,0.067     ,         ,
19870131,서초구 ,0.021       ,0.057    ,0.5         ,0.031     ,         ,
19870131,성동구 ,0.028       ,0.042    ,2.9         ,0.105     ,         ,
19870131,송파구 ,0.024       ,0.014    ,1.2         ,          ,         ,
19870131,용산구 ,0.017       ,0.021    ,1.6         ,0.134     ,         ,
19870201,광진구 ,            ,         ,2.4         ,0.082     ,         ,
19870201,구로구 ,0.015       ,0        ,5           ,0.093     ,         ,
19870201,도봉구 ,0.04        ,0.011    ,2.9         ,0.146     ,         ,
