"행정구역별(읍면동)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"동안구",322590,158660,163930,320154,157524,162630,2436,1136,1300,114087,113197,26,864,103970,3662,84600,1718,13415,575,4926
"부천시",845514,420656,424858,817493,406520,410973,28021,14136,13885,318135,307764,186,10185,257849,18540,144531,7842,84161,2775,17709
"광명시",328253,162480,165773,319912,158421,161491,8341,4059,4282,120086,116608,27,3451,103564,6058,70580,2011,24295,620,2610
"평택시",486077,252448,233629,459185,236350,222835,26892,16098,10794,187516,178518,200,8798,173594,32236,106493,5801,27057,2007,6383
"동두천시",97373,48666,48707,93504,46465,47039,3869,2201,1668,38008,36963,55,990,35987,6532,21019,2473,5580,383,1024
"안산시",733661,379670,353991,663898,339550,324348,69763,40120,29643,282608,254755,299,27554,196205,15640,94911,11013,73260,1381,10327
"상록구",379209,193021,186188,364203,185258,178945,15006,7763,7243,146262,140367,111,5784,102663,8195,40537,1222,51960,749,2210
"단원구",354452,186649,167803,299695,154292,145403,54757,32357,22400,136346,114388,188,21770,93542,7445,54374,9791,21300,632,8117
"고양시",1005102,492804,512298,988580,484232,504348,16522,8572,7950,370113,364356,213,5544,305178,21233,240096,11550,30695,1604,26884
"덕양구",433606,214769,218837,427188,211634,215554,6418,3135,3283,162991,160923,95,1973,140355,9944,102724,5408,21402,877,4946
"일산동구",284692,138851,145841,279088,135677,143411,5604,3174,2430,107240,105242,88,1910,74687,7594,56917,3974,5778,424,18808
"일산서구",286804,139184,147620,282304,136921,145383,4500,2263,2237,99882,98191,30,1661,90136,3695,80455,2168,3515,303,3130
"과천시",53583,26267,27316,53197,26081,27116,386,186,200,18637,18491,11,135,12114,1745,8494,318,1468,89,531
"구리시",189741,93903,95838,188000,93112,94888,1741,791,950,69553,68928,28,597,55252,5191,42065,2285,5246,465,1229
"남양주시",644936,322289,322647,636400,317098,319302,8536,5191,3345,227198,224811,185,2202,209195,16373,157314,10874,23153,1481,6763
"오산시",219877,112936,106941,208005,106748,101257,11872,6188,5684,84314,79379,53,4882,67592,5048,53284,1511,7217,532,1873
"시흥시",446369,237042,209327,404163,211863,192300,42206,25179,17027,169630,152812,137,16681,130097,7360,98562,1578,21328,1269,7534
"군포시",280913,139468,141445,271647,134613,137034,9266,4855,4411,102190,98562,67,3561,86340,3567,69706,1126,11472,469,3253
"의왕시",151852,75667,76185,150230,74811,75419,1622,856,766,54406,53884,33,489,47110,2780,35504,704,7874,248,1783
"하남시",218994,110017,108977,216268,108400,107868,2726,1617,1109,81467,80463,32,972,64727,6056,55386,1067,1676,542,3659
"용인시",996260,497236,499024,973840,484508,489332,22420,12728,9692,346336,339699,310,6327,307555,27926,238954,10505,28505,1665,11432
"처인구",240521,125322,115199,228783,117828,110955,11738,7494,4244,86859,83434,173,3252,74672,17985,28947,5559,20963,1218,3885
"기흥구",416746,206270,210476,410112,202872,207240,6634,3398,3236,143061,140987,76,1998,126667,6768,110593,3422,5590,294,3549
"수지구",338993,165644,173349,334945,163808,171137,4048,1836,2212,116416,115278,61,1077,106216,3173,99414,1524,1952,153,3998
"파주시",430650,220786,209864,416933,211315,205618,13717,9471,4246,153581,150223,165,3193,137097,25659,95525,3568,11061,1284,5590
"이천시",218798,112606,106192,209949,107286,102663,8849,5320,3529,79317,76749,109,2459,71325,21564,36041,3222,9445,1053,3114
"안성시",198832,103648,95184,184453,94322,90131,14379,9326,5053,75632,71193,169,4270,64940,21554,36336,2510,3695,845,3442
"김포시",392438,202239,190199,369674,184914,184760,22764,17325,5439,140347,134242,113,5992,126247,12593,102328,3469,7039,818,6943
"화성시",708569,374529,334040,662439,341686,320753,46130,32843,13287,254974,243048,406,11520,220614,31244,170398,2976,14237,1759,18312
"광주시",341046,176877,164169,325392,166316,159076,15654,10561,5093,125090,120936,92,4062,107996,15715,38948,3565,48803,965,4584
"양주시",212631,109115,103516,203236,102258,100978,9395,6857,2538,77036,74886,110,2040,72288,10855,53296,1106,6107,924,3285
"포천시",161239,87185,74054,145093,75147,69946,16146,12038,4108,61218,57404,132,3682,51464,21092,18883,2630,7774,1085,5265
"여주시",111476,56779,54697,107019,53995,53024,4457,2784,1673,42809,41709,111,989,39352,19529,13674,1353,3894,902,2021
"연천군",43990,23259,20731,42742,22366,20376,1248,893,355,18382,18019,25,338,15931,8938,4273,1195,1115,410,865
"가평군",59548,30169,29379,58297,29642,28655,1251,527,724,24606,24201,51,354,24390,13960,4922,1786,2936,786,1101
"양평군",109359,54876,54483,107247,53947,53300,2112,929,1183,44218,43538,85,595,41689,28035,7686,1267,3879,822,1638
"강원도",1521386,769043,752343,1500390,757764,742626,20996,11279,9717,627054,620729,671,5654,586383,234791,307839,21190,11632,10931,15116
"읍부",260460,133729,126731,256410,131466,124944,4050,2263,1787,105787,104594,146,1047,104099,48610,42742,6182,3926,2639,3151
"면부",337821,175670,162151,331231,171822,159409,6590,3848,2742,145981,144031,273,1677,147556,108975,29118,3539,2615,3309,5343
"동부",923105,459644,463461,912749,454476,458273,10356,5168,5188,375286,372104,252,2930,334728,77206,235979,11469,5091,4983,6622
